吉林电信-组播1,#genre#
吉林篮球,http://36.49.50.173:8800/rtp/239.37.0.212:5540
吉林篮球,http://36.49.50.173:8800/rtp/239.37.0.216:5540
吉林教育,http://36.49.50.173:8800/rtp/239.37.0.126:5540
CCTV-1综合,http://36.49.50.173:8800/rtp/239.37.0.235:5540
CCTV-1综合,http://36.49.50.173:8800/rtp/239.37.0.224:5540
CCTV-1综合,http://36.49.50.173:8800/rtp/239.37.0.149:5540
CCTV-1综合,http://36.49.50.173:8800/rtp/239.37.0.224:5540
CCTV-1综合,http://36.49.50.173:8800/rtp/239.37.0.152:5540
CCTV-3综艺,http://36.49.50.173:8800/rtp/239.37.0.231:5540
CCTV-5体育,http://36.49.50.173:8800/rtp/239.37.0.232:5540
CCTV-5+体育赛事,http://36.49.50.173:8800/rtp/239.37.0.121:5540
CCTV-6电影,http://36.49.50.173:8800/rtp/239.37.0.233:5540
CCTV-8电视剧,http://36.49.50.173:8800/rtp/239.37.0.234:5540
CHC动作电影,http://36.49.50.173:8800/rtp/239.37.0.186:5540
CHC影迷电影,http://36.49.50.173:8800/rtp/239.37.0.187:5540
CHC家庭影院,http://36.49.50.173:8800/rtp/239.37.0.188:5540
长影频道,http://36.49.50.173:8800/rtp/239.37.0.125:5540
CCTV电视指南,http://36.49.50.173:8800/rtp/239.37.0.115:5540
CCTV高尔夫网球,http://36.49.50.173:8800/rtp/239.37.0.230:5540
CCTV卫生健康,http://36.49.50.173:8800/rtp/239.37.0.229:5540
CCTV风云剧场,http://36.49.50.173:8800/rtp/239.37.0.114:5540
CCTV央视台球,http://36.49.50.173:8800/rtp/239.37.0.163:5540
北京卫视4K超高清,http://36.49.50.173:8800/rtp/239.37.0.109:5540
海南卫视,http://36.49.50.173:8800/rtp/239.37.0.102:5540
青海卫视,http://36.49.50.173:8800/rtp/239.37.0.104:5540
陕西卫视,http://36.49.50.173:8800/rtp/239.37.0.103:5540
北京纪实科教,http://36.49.50.173:8800/rtp/239.37.0.101:5540
上海都市剧场,http://36.49.50.173:8800/rtp/239.37.0.241:5540
上海生活时尚,http://36.49.50.173:8800/rtp/239.37.0.240:5540
上海法治天地,http://36.49.50.173:8800/rtp/239.37.0.238:5540
上海金色学堂,http://36.49.50.173:8800/rtp/239.37.0.239:5540
上海动漫秀场,http://36.49.50.173:8800/rtp/239.37.0.242:5540
上海游戏风云,http://36.49.50.173:8800/rtp/239.37.0.243:5540
上海乐游频道,http://36.49.50.173:8800/rtp/239.37.0.236:5540
金鹰纪实,http://36.49.50.173:8800/rtp/239.37.0.161:5540
快乐垂钓,http://36.49.50.173:8800/rtp/239.37.0.244:5540
茶频道,http://36.49.50.173:8800/rtp/239.37.0.245:5540
河南梨园频道,http://36.49.50.173:8800/rtp/239.37.0.228:5540
中国交通,http://36.49.50.173:8800/rtp/239.37.0.226:5540
BesTV游戏,http://36.49.50.173:8800/rtp/239.37.0.162:5540
咪咕体育,http://36.49.50.173:8800/rtp/239.37.0.194:5540
CETV1,http://36.49.50.173:8800/rtp/239.37.0.193:5540
环球奇观,http://36.49.50.173:8800/rtp/239.37.0.105:5540
优优宝贝,http://36.49.50.173:8800/rtp/239.37.0.107:5540
新动漫,http://36.49.50.173:8800/rtp/239.37.0.106:5540
扶余电视台,http://36.49.50.173:8800/rtp/239.37.0.180:5540
延边卫视,http://36.49.50.173:8800/rtp/239.37.0.116:5540
延边TV1,http://36.49.50.173:8800/rtp/239.37.0.248:5540
延边TV2,http://36.49.50.173:8800/rtp/239.37.0.249:5540
TTV洮南1,http://36.49.50.173:8800/rtp/239.37.0.218:5540
农安综合,http://36.49.50.173:8800/rtp/239.37.0.144:5540
生活频道,http://36.49.50.173:8800/rtp/239.37.0.129:5540
新闻综合,http://36.49.50.173:8800/rtp/239.37.0.250:5540
民生社会,http://36.49.50.173:8800/rtp/239.37.0.251:5540
松原综合频道,http://36.49.50.173:8800/rtp/239.37.0.246:5540
松原生活频道,http://36.49.50.173:8800/rtp/239.37.0.247:5540
白山新闻综合1,http://36.49.50.173:8800/rtp/239.37.0.137:5540
白山旅游生活2,http://36.49.50.173:8800/rtp/239.37.0.138:5540
四平1,http://36.49.50.173:8800/rtp/239.37.0.130:5540
四平2,http://36.49.50.173:8800/rtp/239.37.0.131:5540
TTV1,http://36.49.50.173:8800/rtp/239.37.0.132:5540
TTV2,http://36.49.50.173:8800/rtp/239.37.0.133:5540
TTV3,http://36.49.50.173:8800/rtp/239.37.0.134:5540
磐石综合频道,http://36.49.50.173:8800/rtp/239.37.0.164:5540
图门电视台,http://36.49.50.173:8800/rtp/239.37.0.166:5540
未知,http://36.49.50.173:8800/rtp/239.37.0.165:5540
梨树新闻,http://36.49.50.173:8800/rtp/239.37.0.168:5540
tv1,http://36.49.50.173:8800/rtp/239.37.0.167:5540
综合纪实,http://36.49.50.173:8800/rtp/239.37.0.170:5540
双辽,http://36.49.50.173:8800/rtp/239.37.0.169:5540
未知综合,http://36.49.50.173:8800/rtp/239.37.0.172:5540
未知TV,http://36.49.50.173:8800/rtp/239.37.0.171:5540
梅河口电视台,http://36.49.50.173:8800/rtp/239.37.0.173:5540
未知地方综合,http://36.49.50.173:8800/rtp/239.37.0.175:5540
DFTV综合,http://36.49.50.173:8800/rtp/239.37.0.179:5540
乾安综合,http://36.49.50.173:8800/rtp/239.37.0.181:5540
未知电视台,http://36.49.50.173:8800/rtp/239.37.0.220:5540
吉林电信-组播2,#genre#
吉林电信-组播3,#genre#
