海南联通-组播1,#genre#
海南卫视,http://113.58.7.33:8188/rtp/239.254.96.179:7154
三沙卫视,http://113.58.7.33:8188/rtp/239.254.96.184:7158
海南自贸,http://113.58.7.33:8188/rtp/239.254.96.185:8162
海南公共,http://113.58.7.33:8188/rtp/239.254.96.186:8164
海南文旅,http://113.58.7.33:8188/rtp/239.254.96.191:8176
海南少儿,http://113.58.7.33:8188/rtp/239.254.96.192:8178
海南新闻,http://113.58.7.33:8188/rtp/239.254.96.190:8174
海口1,http://113.58.7.33:8188/rtp/239.254.96.103:7808
三亚1,http://113.58.7.33:8188/rtp/239.254.96.106:8832
澄迈,http://113.58.7.33:8188/rtp/239.254.96.111:7772
CCTV-1综合,http://113.58.7.33:8188/rtp/239.254.96.82:7640
CCTV-2财经,http://113.58.7.33:8188/rtp/239.254.96.124:7084
CCTV-3综艺,http://113.58.7.33:8188/rtp/239.254.96.67:7520
CCTV-4中文国际,http://113.58.7.33:8188/rtp/239.254.96.180:7092
CCTV-5体育,http://113.58.7.33:8188/rtp/239.254.96.66:7512
CCTV-5+体育赛事,http://113.58.7.33:8188/rtp/239.254.96.83:7004
CCTV-6电影,http://113.58.7.33:8188/rtp/239.254.96.63:7488
CCTV-7国防军事,http://113.58.7.33:8188/rtp/239.254.96.125:7104
CCTV-8电视剧,http://113.58.7.33:8188/rtp/239.254.96.62:7480
CCTV-9纪录,http://113.58.7.33:8188/rtp/239.254.96.126:7112
CCTV-10科教,http://113.58.7.33:8188/rtp/239.254.96.127:7116
CCTV-11戏曲,http://113.58.7.33:8188/rtp/239.254.96.187:8166
CCTV-12社会与法,http://113.58.7.33:8188/rtp/239.254.96.128:7124
CCTV-14少儿,http://113.58.7.33:8188/rtp/239.254.96.129:7132
CCTV-15音乐,http://113.58.7.33:8188/rtp/239.254.96.188:8170
CCTV-16奥林匹克,http://113.58.7.33:8188/rtp/239.254.96.170:8206
CCTV-17农业农村,http://113.58.7.33:8188/rtp/239.254.96.57:8204
湖南卫视,http://113.58.7.33:8188/rtp/239.254.96.85:7664
浙江卫视,http://113.58.7.33:8188/rtp/239.254.96.89:7696
江苏卫视,http://113.58.7.33:8188/rtp/239.254.96.88:7688
安徽卫视,http://113.58.7.33:8188/rtp/239.254.96.133:7064
北京卫视,http://113.58.7.33:8188/rtp/239.254.96.84:7656
天津卫视,http://113.58.7.33:8188/rtp/239.254.96.183:7364
重庆卫视,http://113.58.7.33:8188/rtp/239.254.96.60:7464
东方卫视,http://113.58.7.33:8188/rtp/239.254.96.90:7704
东南卫视,http://113.58.7.33:8188/rtp/239.254.96.189:8172
广东卫视,http://113.58.7.33:8188/rtp/239.254.96.130:7048
深圳卫视,http://113.58.7.33:8188/rtp/239.254.96.87:7020
山东卫视,http://113.58.7.33:8188/rtp/239.254.96.131:7052
贵州卫视,http://113.58.7.33:8188/rtp/239.254.96.182:7076
河北卫视,http://113.58.7.33:8188/rtp/239.254.96.181:7072
湖北卫视,http://113.58.7.33:8188/rtp/239.254.96.91:7712
吉林卫视,http://113.58.7.33:8188/rtp/239.254.96.65:7504
江西卫视,http://113.58.7.33:8188/rtp/239.254.96.61:7472
辽宁卫视,http://113.58.7.33:8188/rtp/239.254.96.132:7056
黑龙江卫视,http://113.58.7.33:8188/rtp/239.254.96.86:7672
河南卫视,http://113.58.7.33:8188/rtp/239.254.96.34:7256
广西卫视,http://113.58.7.33:8188/rtp/239.254.96.46:7352
甘肃卫视,http://113.58.7.33:8188/rtp/239.254.96.55:7424
内蒙古卫视,http://113.58.7.33:8188/rtp/239.254.96.50:7384
青海卫视,http://113.58.7.33:8188/rtp/239.254.96.51:7392
厦门卫视,http://113.58.7.33:8188/rtp/239.254.96.152:8122
山西卫视,http://113.58.7.33:8188/rtp/239.254.96.49:7376
陕西卫视,http://113.58.7.33:8188/rtp/239.254.96.48:7368
四川卫视,http://113.58.7.33:8188/rtp/239.254.96.36:7272
西藏卫视,http://113.58.7.33:8188/rtp/239.254.96.53:7408
新疆卫视,http://113.58.7.33:8188/rtp/239.254.96.54:7416
云南卫视,http://113.58.7.33:8188/rtp/239.254.96.33:7248
宁夏卫视,http://113.58.7.33:8188/rtp/239.254.96.52:7400
兵团卫视,http://113.58.7.33:8188/rtp/239.254.96.153:8126
山东教育卫视,http://113.58.7.33:8188/rtp/239.254.96.151:8118
金鹰纪实,http://113.58.7.33:8188/rtp/239.254.96.154:7156
CETV1,http://113.58.7.33:8188/rtp/239.254.96.155:7152
CETV4,http://113.58.7.33:8188/rtp/239.254.96.169:8148
CGTN纪录,http://113.58.7.33:8188/rtp/239.254.96.58:7448
CGTN英语,http://113.58.7.33:8188/rtp/239.254.96.16:7112
